date,cpi_mom_index,monthly_factor,price_index,inflation_yoy
2017-12-01,101.0,1.01,832.4949671255578,13.668743932842586
2018-01-01,101.5,1.015,844.982391632441,14.118471900925055
2018-02-01,100.9,1.0090000000000001,852.5872331571331,14.00548331488456
2018-03-01,101.1,1.011,861.9656927218616,13.221555630008153
2018-04-01,100.8,1.008,868.8614182636364,13.109343979235067
2018-05-01,100.0,1.0,868.8614182636364,11.657792674467004
2018-06-01,100.0,1.0,868.8614182636364,9.899402238648625
2018-07-01,99.3,0.993,862.779388335791,8.912281859259586
2018-08-01,100.0,1.0,862.779388335791,9.021303162422
2018-09-01,101.9,1.0190000000000001,879.1721967141712,8.914419531870577
2018-10-01,101.7,1.0170000000000001,894.1181240583122,9.452534252877886
2018-11-01,101.4,1.014,906.6357777951285,9.994915492981304
2018-12-01,100.8,1.008,913.8888640174896,9.777103779133833
2019-01-01,101.0,1.01,923.0277526576645,9.2363298688918
2019-02-01,100.5,1.005,927.6428914209527,8.803281980412514
2019-03-01,100.9,1.0090000000000001,935.9916774437414,8.588043044744055
2019-04-01,101.0,1.01,945.3515942181788,8.803495511102689
2019-05-01,100.7,1.0070000000000001,951.9690553777062,9.565119979680436
2019-06-01,99.5,0.995,947.2092101008176,9.017294379782005
2019-07-01,99.4,0.9940000000000001,941.5259548402128,9.127080174726409
2019-08-01,99.7,0.997,938.7013769756921,8.799698934202226
2019-09-01,100.7,1.0070000000000001,945.272286614522,7.51844634616452
2019-10-01,100.7,1.0070000000000001,951.8891926208239,6.461234484353651
2019-11-01,100.1,1.001,952.8410818134446,5.096346862759371
2019-12-01,99.8,0.998,950.9353996498178,4.053724374041523
2020-01-01,100.2,1.002,952.8372704491173,3.229536458207538
2020-02-01,99.7,0.997,949.9787586377699,2.407808804808864
2020-03-01,100.8,1.008,957.5785887068722,2.306314445240165
2020-04-01,100.8,1.008,965.2392174165271,2.1037276839624752
2020-05-01,100.3,1.003,968.1349350687766,1.6981518043836408
2020-06-01,100.2,1.002,970.0712049389141,2.4136161889370955
2020-07-01,99.4,0.9940000000000001,964.2507777092808,2.4136161889370955
2020-08-01,99.8,0.998,962.3222761538623,2.516337970470639
2020-09-01,100.5,1.005,967.1338875346315,2.312730546497499
2020-10-01,101.0,1.01,976.8052264099778,2.6175351062189156
2020-11-01,101.3,1.013,989.5036943533073,3.8477153472525005
2020-12-01,100.9,1.0090000000000001,998.4092276024872,4.99232944426633
2021-01-01,101.3,1.013,1011.3885475613195,6.144939847347075
2021-02-01,101.0,1.01,1021.5024330369326,7.528976174343582
2021-03-01,101.7,1.0170000000000001,1038.8679743985606,8.48905631875736
2021-04-01,100.7,1.0070000000000001,1046.1400502193505,8.381428286695126
2021-05-01,101.3,1.013,1059.739870872202,9.462000851866549
2021-06-01,100.2,1.002,1061.8593506139464,9.46200085186657
2021-07-01,100.1,1.001,1062.9212099645601,10.232860012795154
2021-08-01,99.8,0.998,1060.795367544631,10.232860012795154
2021-09-01,101.2,1.012,1073.5249119551665,11.000651077560896
2021-10-01,100.9,1.0090000000000001,1083.1866361627633,10.890749442830682
2021-11-01,100.8,1.008,1091.8521292520654,10.343411094149403
2021-12-01,100.6,1.006,1098.4032420275778,10.015333558686091
2022-01-01,101.3,1.013,1112.6824841739362,10.015333558686113
2022-02-01,101.6,1.016,1130.4854039207191,10.668889995668396
2022-03-01,104.5,1.045,1181.3572470971512,13.715821086994517
2022-04-01,103.1,1.031,1217.9793217571628,16.42602933534394
2022-05-01,102.7,1.0270000000000001,1250.8647634446063,18.03507613760933
2022-06-01,103.1,1.031,1289.641571111389,21.451260975923358
2022-07-01,100.7,1.0070000000000001,1298.6690621091689,22.179240562192646
2022-08-01,101.1,1.011,1312.9544217923697,23.77075371580839
2022-09-01,101.9,1.0190000000000001,1337.9005558064248,24.62687553004819
2022-10-01,102.5,1.025,1371.3480697015852,26.60311934420152
2022-11-01,100.7,1.0070000000000001,1380.9475061894966,26.47752101151881
2022-12-01,100.7,1.0070000000000001,1390.6141387328234,26.603244193438847
2023-01-01,100.8,1.008,1401.739051842686,25.978351576491953
